mes,saldo_mes,saldo_ajustado,aporte_kakau,aporte_total_casal,mes_date
2026-03,332.1100000000001,332.1100000000001,50.0,382.1100000000001,2026-03-01
2026-04,492.4200000000001,492.4200000000001,50.0,542.4200000000001,2026-04-01
2026-05,379.9200000000001,379.9200000000001,50.0,429.9200000000001,2026-05-01
2026-06,404.9200000000001,404.9200000000001,50.0,454.9200000000001,2026-06-01
2026-07,254.92000000000007,254.92000000000007,50.0,304.9200000000001,2026-07-01
2026-08,33.789999999999964,33.789999999999964,50.0,83.78999999999996,2026-08-01
2026-09,99.86000000000013,99.86000000000013,50.0,149.86000000000013,2026-09-01
2026-10,66.84999999999991,66.84999999999991,50.0,116.84999999999991,2026-10-01
2026-11,-135.44000000000005,0.0,50.0,50.0,2026-11-01
2026-12,-10.440000000000055,0.0,50.0,50.0,2026-12-01
2027-01,174.55999999999995,174.55999999999995,50.0,224.55999999999995,2027-01-01
2027-02,939.56,939.56,50.0,989.56,2027-02-01
2027-03,939.56,939.56,50.0,989.56,2027-03-01
2027-04,939.56,939.56,50.0,989.56,2027-04-01
2027-05,939.56,939.56,50.0,989.56,2027-05-01
2027-06,939.56,939.56,50.0,989.56,2027-06-01
2027-07,939.56,939.56,50.0,989.56,2027-07-01
2027-08,939.56,939.56,50.0,989.56,2027-08-01
2027-09,939.56,939.56,50.0,989.56,2027-09-01
2027-10,939.56,939.56,50.0,989.56,2027-10-01
2027-11,939.56,939.56,50.0,989.56,2027-11-01
2027-12,939.56,939.56,50.0,989.56,2027-12-01
