mes;cartao_total;desafio_52s_total;fixos_total;salario;extras_total;receita_total;despesas_total;saldo_mes
2026-02;1089,08;70,0;973,8;1400,0;326,4;1726,4;2132,88;-406,48
2026-03;654,49;200,0;1069,8;2000,0;256,4;2256,4;1924,29;332,1100000000001
2026-04;563,9;250,0;973,8;2000,0;280,12;2280,12;1787,6999999999998;492,4200000000001
2026-05;431,4;425,0;973,8;2000,0;210,12;2210,12;1830,1999999999998;379,9200000000001
2026-06;431,4;430,0;1013,8;2000,0;280,12;2280,12;1875,1999999999998;404,9200000000001
2026-07;431,4;510,0;1013,8;2000,0;210,12;2210,12;1955,1999999999998;254,92000000000007
2026-08;379,41;750,0;1013,8;2000,0;177,0;2177,0;2143,21;33,789999999999964
2026-09;303,34000000000003;690,0;1013,8;2000,0;107,0;2107,0;2007,1399999999999;99,86000000000013
2026-10;256,35;770,0;1013,8;2000,0;107,0;2107,0;2040,15;66,84999999999991
2026-11;53,64;1075,0;1013,8;2000,0;7,0;2007,0;2142,44;-135,44000000000005
2026-12;53,64;950,0;1013,8;2000,0;7,0;2007,0;2017,44;-10,440000000000055
2027-01;53,64;765,0;1013,8;2000,0;7,0;2007,0;1832,44;174,55999999999995
2027-02;53,64;0,0;1013,8;2000,0;7,0;2007,0;1067,44;939,56
2027-03;53,64;0,0;1013,8;2000,0;7,0;2007,0;1067,44;939,56
2027-04;53,64;0,0;1013,8;2000,0;7,0;2007,0;1067,44;939,56
2027-05;53,64;0,0;1013,8;2000,0;7,0;2007,0;1067,44;939,56
2027-06;53,64;0,0;1013,8;2000,0;7,0;2007,0;1067,44;939,56
2027-07;53,64;0,0;1013,8;2000,0;7,0;2007,0;1067,44;939,56
2027-08;53,64;0,0;1013,8;2000,0;7,0;2007,0;1067,44;939,56
2027-09;53,64;0,0;1013,8;2000,0;7,0;2007,0;1067,44;939,56
2027-10;53,64;0,0;1013,8;2000,0;7,0;2007,0;1067,44;939,56
2027-11;53,64;0,0;1013,8;2000,0;7,0;2007,0;1067,44;939,56
2027-12;53,64;0,0;1013,8;2000,0;7,0;2007,0;1067,44;939,56
